"grape_variety","index","location","price","rated_by","ratings","timestamp","timestampString","uid","url","url_uid","wine_vintage","wine_vintage_link"
"Pinot Noir",8,"Nuits-St-Georges, Cote de Nuits, Cote d'Or, Burgundy, France","119","JS","93",1710528946700,"Fri, 15 Mar 2024 18:55:46 GMT","c45cnnNpJqwTw0sCrp0g","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/105?sortBy=topRated&ratingmin=89",105,"Louis Jadot Nuits-Saint-Georges Les Boudots Premier Cru Domaine Gagey 2011","https://www.wine.com/product/louis-jadot-nuits-saint-georges-les-boudots-premier-cru-domaine-gagey-2011/1107328"
"Nebbiolo",8,"Barolo, Piedmont, Italy","139","JS","93",1710528946792,"Fri, 15 Mar 2024 18:55:46 GMT","ZyNK7xidkQAUDlVWSzzO","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/107?sortBy=topRated&ratingmin=89",107,"Parusso Barolo Mariondino 2018","https://www.wine.com/product/parusso-barolo-mariondino-2018/1008691"
"Pinot Noir",9,"Monterey, Central Coast, California","49","JM","93",1710528946792,"Fri, 15 Mar 2024 18:55:46 GMT","hrfNSLfCtEfMVvygKbEZ","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/107?sortBy=topRated&ratingmin=89",107,"Wrath San Saba Pinot Noir 2020","https://www.wine.com/product/wrath-san-saba-pinot-noir-2020/1258573"
"Gamay",9,"Beaujolais, Burgundy, France","29","WW","90",1710528946700,"Fri, 15 Mar 2024 18:55:46 GMT","c4dfI9Oy2mYnba0lmZpI","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/105?sortBy=topRated&ratingmin=89",105,"Vieux Bourg Morgon Cing Terres 2020","https://www.wine.com/product/vieux-bourg-morgon-cing-terres-2020/1517539"
"Cabernet Sauvignon",10,"Napa Valley, California","65","RP","93",1710528946792,"Fri, 15 Mar 2024 18:55:46 GMT","baUO3rc9CGiNeKYL5hKR","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/107?sortBy=topRated&ratingmin=89",107,"Hill Family Estate Napa Valley Cabernet Sauvignon 2021","https://www.wine.com/product/hill-family-estate-napa-valley-cabernet-sauvignon-2021/1410963"
"Cabernet Sauvignon",10,"Argentina","38","WS","93",1710528946700,"Fri, 15 Mar 2024 18:55:46 GMT","ZzkvdeNfQs7z858v12CT","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/105?sortBy=topRated&ratingmin=89",105,"Bianchi Particular Cabernet Sauvignon 2019","https://www.wine.com/product/bianchi-particular-cabernet-sauvignon-2019/1126676"
"Pinot Noir",11,"Beaune, Cote de Beaune, Cote d'Or, Burgundy, France","89","JS","93",1710528946700,"Fri, 15 Mar 2024 18:55:46 GMT","Zkcnq2olvEetn24PdTxH","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/105?sortBy=topRated&ratingmin=89",105,"Domaine de Montille Beaune Les Sizies Premier Cru 2020","https://www.wine.com/product/domaine-de-montille-beaune-les-sizies-premier-cru-2020/1240961"
"Grenache",11,"Santa Ynez Valley, Santa Barbara, Central Coast, California","38","WS","93",1710528946792,"Fri, 15 Mar 2024 18:55:46 GMT","L98BUATmtcDfbdkQh7l3","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/107?sortBy=topRated&ratingmin=89",107,"Beckmen Grenache 2021","https://www.wine.com/product/beckmen-grenache-2021/1616494"
"Cabernet Sauvignon",12,"Rutherford, Napa Valley, California","84","JS","92",1710528946792,"Fri, 15 Mar 2024 18:55:46 GMT","dRxr7fP2QvANw2vfiMVV","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/107?sortBy=topRated&ratingmin=89",107,"Elizabeth Spencer Rutherford Cabernet Sauvignon 2019","https://www.wine.com/product/elizabeth-spencer-rutherford-cabernet-sauvignon-2019/1307828"
"Sangiovese",12,"Italy","46","WE","93",1710528946700,"Fri, 15 Mar 2024 18:55:46 GMT","ZW7dgdPEUnG9tI8URTSw","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/105?sortBy=topRated&ratingmin=89",105,"San Giusto a Rentennano Chianti Classico 2020","https://www.wine.com/product/san-giusto-a-rentennano-chianti-classico-2020/1735572"
"Nebbiolo",13,"Barbaresco, Piedmont, Italy","52","D","91",1710528946792,"Fri, 15 Mar 2024 18:55:46 GMT","ZLQAwm25QWbEPX4O8gkG","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/107?sortBy=topRated&ratingmin=89",107,"Luigi Oddero Barbaresco Rombone 2018","https://www.wine.com/product/luigi-oddero-barbaresco-rombone-2018/1764318"
"Syrah/Shiraz",13,"Crozes-Hermitage, Rhone, France","44","JS","93",1710528946700,"Fri, 15 Mar 2024 18:55:46 GMT","A78pDVwNfAhNswscb95G","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/105?sortBy=topRated&ratingmin=89",105,"M. Chapoutier Crozes-Hermitage Les Meysonniers 2020","https://www.wine.com/product/m-chapoutier-crozes-hermitage-les-meysonniers-2020/1237230"
"Bordeaux Red Blends",14,"Napa Valley, California","31","WS","93",1710528946700,"Fri, 15 Mar 2024 18:55:46 GMT","VfAVAxLr30udUROYC3o5","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/105?sortBy=topRated&ratingmin=89",105,"Markham The Altruist Red Blend 2018","https://www.wine.com/product/markham-the-altruist-red-blend-2018/973583"
"Syrah/Shiraz",14,"Saint-Joseph, Rhone, France","44","WE","90",1710528946792,"Fri, 15 Mar 2024 18:55:46 GMT","J4KczKYTDvmOWaIeRnia","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/107?sortBy=topRated&ratingmin=89",107,"Chateau de Saint Cosme Saint-Joseph 2021","https://www.wine.com/product/chateau-de-saint-cosme-saint-joseph-2021/1262825"
"Sangiovese",15,"Chianti Classico, Chianti, Tuscany, Italy","31","WE","93",1710528946792,"Fri, 15 Mar 2024 18:55:46 GMT","z046QwS4VwYtX7iWo8GY","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/107?sortBy=topRated&ratingmin=89",107,"Lamole di Lamole Lareale Chianti Classico Riserva 2018","https://www.wine.com/product/lamole-di-lamole-lareale-chianti-classico-riserva-2018/1001682"
"Pinot Noir",15,"Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France","109","WE","93",1710528946700,"Fri, 15 Mar 2024 18:55:46 GMT","5GVJSNT2Mj50ncknlFt2","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/105?sortBy=topRated&ratingmin=89",105,"Mark Haisma Gevrey-Chambertin 2021","https://www.wine.com/product/mark-haisma-gevrey-chambertin-2021/1741721"
"Syrah/Shiraz",16,"Sonoma County, California","38","RP","93",1710528946792,"Fri, 15 Mar 2024 18:55:46 GMT","uJZSEolQxWt4BTSLjo51","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/107?sortBy=topRated&ratingmin=89",107,"Bootleg Prequel 2018","https://www.wine.com/product/bootleg-prequel-2018/1875469"
"Pinot Noir",16,"Santa Cruz Mountains, California","50","JS","93",1710528946700,"Fri, 15 Mar 2024 18:55:46 GMT","71koTI3EKPMPi2Nklwv2","https://www.wine.com/list/wine/red-wine/standard-750ml/7155-124-266/105?sortBy=topRated&ratingmin=89",105,"Martin Ray Santa Cruz Mountains Pinot Noir 2022","https://www.wine.com/product/martin-ray-santa-cruz-mountains-pinot-noir-2022/1805489"
